t,x,y,nx,ny
0,51.53,-8.645,0,0
0.034,49.3,-7.661,-2.23,0.984
0.068,49.53,-7.761,-2,0.884
0.102,49.75,-8.075,-1.78,0.57
0.135,49.43,-8.507,-2.1,0.138
0.169,49.47,-8.395,-2.06,0.25
0.203,49.57,-8.235,-1.96,0.41
0.237,49.38,-7.785,-2.15,0.86
0.271,49.22,-7.309,-2.31,1.336
0.305,48.9,-6.752,-2.63,1.893
0.339,48.56,-5.831,-2.97,2.814
0.372,48.13,-4.891,-3.4,3.754
0.406,47.59,-3.788,-3.94,4.857
0.44,46.62,-2.487,-4.91,6.158
0.474,45.74,-1.023,-5.79,7.622
0.508,44.66,0.789,-6.87,9.434
0.542,43.77,2.774,-7.76,11.419
0.576,42.66,4.702,-8.87,13.347
0.609,41.4,6.728,-10.13,15.373
0.643,40.04,8.973,-11.49,17.618
0.677,38.84,11.68,-12.69,20.325
0.711,37.89,13.93,-13.64,22.575
0.745,36.82,16.17,-14.71,24.815
0.779,36.04,18.01,-15.49,26.655
0.813,35.52,19.71,-16.01,28.355
0.846,34.96,21.26,-16.57,29.905
0.88,34.69,22.13,-16.84,30.775
0.914,34.51,22.93,-17.02,31.575
0.948,34.32,22.74,-17.21,31.385
0.982,33.59,21.81,-17.94,30.455
1.016,33.57,19.96,-17.96,28.605
1.05,34.21,17.56,-17.32,26.205
1.083,35.17,14.59,-16.36,23.235
1.117,36.93,11.7,-14.6,20.345
1.151,38.56,8.534,-12.97,17.179
1.185,40.24,5.684,-11.29,14.329
1.219,42.06,3.004,-9.47,11.649
1.253,43.61,0.867,-7.92,9.512
1.287,44.5,-0.937,-7.03,7.708
1.32,45.72,-2.785,-5.81,5.86
1.354,46.99,-4.436,-4.54,4.209
1.388,47.89,-5.989,-3.64,2.656
1.422,48.76,-7.067,-2.77,1.578
1.456,49.47,-8.561,-2.06,0.084
1.49,50.01,-9.718,-1.52,-1.073
1.524,50.61,-10.75,-0.92,-2.105
1.557,51.32,-12.07,-0.21,-3.425
1.591,51.83,-12.88,0.3,-4.235
1.625,52.14,-13.62,0.61,-4.975
1.659,52.47,-14.07,0.94,-5.425
1.693,52.98,-14.43,1.45,-5.785
1.727,53.13,-14.75,1.6,-6.105
1.76,53.34,-14.52,1.81,-5.875
1.794,53.71,-14.51,2.18,-5.865
1.828,53.69,-15.44,2.16,-6.795
1.862,53.44,-15.91,1.91,-7.265
1.896,53.46,-15.89,1.93,-7.245
1.93,53.44,-15.88,1.91,-7.235
