t,x,y,nx,ny
0.034,44.44,-8.916,0,0
0.068,44.42,-8.984,-0.02,-0.068
0.102,44.37,-9.369,-0.07,-0.453
0.135,44.69,-10.8,0.25,-1.884
0.169,45.23,-12.69,0.79,-3.774
0.203,45.96,-13.01,1.52,-4.094
0.237,46.45,-13.84,2.01,-4.924
0.271,46.78,-14.59,2.34,-5.674
0.305,47.01,-15.41,2.57,-6.494
0.338,47.62,-16.11,3.18,-7.194
0.372,47.84,-16.59,3.4,-7.674
0.406,48.33,-17.23,3.89,-8.314
0.44,48.51,-17.81,4.07,-8.894
0.474,48.82,-18.23,4.38,-9.314
0.508,49.3,-18.68,4.86,-9.764
0.542,49.56,-19.1,5.12,-10.184
0.575,49.96,-19.39,5.52,-10.474
0.609,50.02,-19.37,5.58,-10.454
0.643,50.05,-19.36,5.61,-10.444
0.677,49.89,-18.66,5.45,-9.744
0.711,49.15,-17.23,4.71,-8.314
0.745,48.06,-15.22,3.62,-6.304
0.779,46.84,-13.07,2.4,-4.154
0.812,46.18,-10.83,1.74,-1.914
0.846,45.55,-8.567,1.11,0.349
0.88,44.59,-6.28,0.15,2.636
0.914,43.55,-4.121,-0.89,4.795
0.948,42.67,-2.456,-1.77,6.46
0.982,42.29,-0.818,-2.15,8.098
1.015,42.19,0.794,-2.25,9.71
1.049,41.93,1.96,-2.51,10.876
1.083,41.55,2.662,-2.89,11.578
1.117,41.43,2.958,-3.01,11.874
1.151,41.36,2.77,-3.08,11.686
1.185,41.4,1.064,-3.04,9.98
1.219,41.76,-1.38,-2.68,7.536
1.252,42.48,-3.514,-1.96,5.402
1.286,43.33,-5.559,-1.11,3.357
1.32,43.99,-7.617,-0.45,1.299
1.354,44.83,-10.3,0.39,-1.384
1.388,45.83,-12.95,1.39,-4.034
1.422,47.16,-15.77,2.72,-6.854
1.455,49.07,-18.31,4.63,-9.394
1.489,50.75,-20.67,6.31,-11.754
1.523,52.09,-22.47,7.65,-13.554
1.557,53.06,-24.33,8.62,-15.414
1.591,54.43,-26.24,9.99,-17.324
1.625,55.76,-28.11,11.32,-19.194
1.659,56.84,-29.85,12.4,-20.934
1.692,58.04,-31.69,13.6,-22.774
1.726,59.36,-33.24,14.92,-24.324
1.76,60.36,-34.66,15.92,-25.744
1.794,61.39,-35.87,16.95,-26.954
1.828,62.42,-37.21,17.98,-28.294
1.862,63.26,-38.46,18.82,-29.544
1.895,63.69,-39.45,19.25,-30.534
1.929,64.22,-40.26,19.78,-31.344
1.963,64.96,-40.86,20.52,-31.944
1.997,65.3,-41.18,20.86,-32.264
2.031,65.46,-41.42,21.02,-32.504
2.065,65.43,-41.46,20.99,-32.544
2.099,65.41,-41.84,20.97,-32.924
2.132,64.59,-43.07,20.15,-34.154
2.166,62.95,-43.53,18.51,-34.614
2.2,62.98,-43.35,18.54,-34.434
2.234,63.24,-42.62,18.8,-33.704
2.268,63.34,-41.82,18.9,-32.904
2.302,62.99,-41.2,18.55,-32.284
2.336,62.35,-40.55,17.91,-31.634
2.369,61.69,-39.46,17.25,-30.544
2.403,61.26,-38.1,16.82,-29.184
2.437,60.45,-36.5,16.01,-27.584
2.471,59.63,-34.89,15.19,-25.974
2.505,58.83,-33.22,14.39,-24.304
2.539,57.87,-31.64,13.43,-22.724
2.572,57.01,-29.88,12.57,-20.964
2.606,55.18,-26.16,10.74,-17.244
2.64,54.1,-24.16,9.66,-15.244
2.674,53.09,-22.19,8.65,-13.274
2.708,51.99,-20.02,7.55,-11.104
2.742,51.06,-18.1,6.62,-9.184
2.776,50.07,-15.91,5.63,-6.994
2.809,49.2,-13.6,4.76,-4.684
2.843,48.25,-11.36,3.81,-2.444
2.877,47.42,-9.384,2.98,-0.468
2.911,46.62,-7.292,2.18,1.624
2.945,46.17,-5.493,1.73,3.423
2.979,45.89,-4.084,1.45,4.832
3.012,45.72,-3.147,1.28,5.769
3.046,45.41,-2.32,0.97,6.596
3.08,45.21,-1.944,0.77,6.972
3.114,45.14,-2.149,0.7,6.767
3.148,45.2,-3.4,0.76,5.516
3.182,45.55,-5.89,1.11,3.026
3.216,46.25,-8.444,1.81,0.472
3.249,47.1,-10.78,2.66,-1.864
3.283,47.83,-12.94,3.39,-4.024
3.317,48.6,-15.11,4.16,-6.194
3.351,49.75,-17.89,5.31,-8.974
3.385,51.17,-20.6,6.73,-11.684
3.419,52.85,-23.22,8.41,-14.304
3.453,54.67,-25.64,10.23,-16.724
3.486,55.87,-27.69,11.43,-18.774
3.52,56.85,-29.76,12.41,-20.844
3.554,58.05,-31.68,13.61,-22.764
3.588,59.51,-33.48,15.07,-24.564
3.622,60.63,-35.28,16.19,-26.364
3.656,61.59,-37.09,17.15,-28.174
3.689,62.73,-38.97,18.29,-30.054
3.723,63.84,-40.42,19.4,-31.504
3.757,64.96,-41.54,20.52,-32.624
3.791,65.88,-42.81,21.44,-33.894
3.825,66.7,-43.83,22.26,-34.914
3.859,67.18,-44.92,22.74,-36.004
3.893,67.73,-45.68,23.29,-36.764
3.926,68.34,-46.42,23.9,-37.504
3.96,68.8,-46.95,24.36,-38.034
3.994,69.04,-47.11,24.6,-38.194
4.028,69.23,-47.21,24.79,-38.294
4.062,69.23,-47.12,24.79,-38.204
4.096,68.79,-48.2,24.35,-39.284
4.129,67.07,-49.16,22.63,-40.244
4.163,67.09,-49.04,22.65,-40.124
4.197,67.26,-48.66,22.82,-39.744
4.231,67.39,-48.4,22.95,-39.484
4.265,67.37,-47.95,22.93,-39.034
4.299,66.97,-47.63,22.53,-38.714
4.333,66.57,-47.17,22.13,-38.254
4.366,66.19,-46.5,21.75,-37.584
4.4,65.81,-45.8,21.37,-36.884
4.434,65.47,-44.75,21.03,-35.834
4.468,65.02,-43.19,20.58,-34.274
4.502,63.98,-41.34,19.54,-32.424
4.536,63.16,-39.64,18.72,-30.724
4.569,62.2,-37.83,17.76,-28.914
4.603,61.34,-36.09,16.9,-27.174
4.637,60.44,-34.27,16,-25.354
4.671,59.6,-32.49,15.16,-23.574
4.705,58.54,-30.27,14.1,-21.354
4.739,57.41,-28.28,12.97,-19.364
4.773,56.46,-26.05,12.02,-17.134
4.806,55.79,-23.85,11.35,-14.934
4.84,54.86,-21.7,10.42,-12.784
4.874,54,-19.38,9.56,-10.464
4.908,53.13,-17.45,8.69,-8.534
4.942,52.51,-15.51,8.07,-6.594
4.976,52.21,-13.98,7.77,-5.064
5.01,51.88,-12.91,7.44,-3.994
5.043,51.53,-11.76,7.09,-2.844
5.077,51.2,-11.94,6.76,-3.024
5.111,51.12,-13.14,6.68,-4.224
5.145,51.4,-15.29,6.96,-6.374
