t,x,y,nx,ny
0,301.8,-219.7,0,0
0.034,301.7,-219.7,-0.1,0
0.068,301.6,-220.1,-0.2,-0.4
0.102,300.3,-222,-1.5,-2.3
0.136,299.3,-223.9,-2.5,-4.2
0.169,300.1,-225,-1.7,-5.3
0.203,300.2,-226.1,-1.6,-6.4
0.237,300.2,-227.6,-1.6,-7.9
0.271,300.2,-228.9,-1.6,-9.2
0.305,300.2,-230.2,-1.6,-10.5
0.339,300.1,-231.5,-1.7,-11.8
0.373,300,-232.8,-1.8,-13.1
0.407,299.9,-234.1,-1.9,-14.4
0.44,299.8,-235.1,-2,-15.4
0.474,299.8,-236.3,-2,-16.6
0.508,299.8,-237.6,-2,-17.9
0.542,299.8,-238.6,-2,-18.9
0.576,299.8,-239.4,-2,-19.7
0.61,299.8,-240.5,-2,-20.8
0.644,299.9,-241.1,-1.9,-21.4
0.678,299.9,-241.6,-1.9,-21.9
0.711,300,-242.2,-1.8,-22.5
0.745,300,-242.5,-1.8,-22.8
0.779,300,-242.5,-1.8,-22.8
0.813,299.8,-242.3,-2,-22.6
0.847,299.2,-241.4,-2.6,-21.7
0.881,298.5,-240.3,-3.3,-20.6
0.915,297.6,-238.7,-4.2,-19
0.949,296.6,-236.5,-5.2,-16.8
0.982,295.5,-234.8,-6.3,-15.1
1.016,294.9,-233.6,-6.9,-13.9
1.05,294.7,-232.2,-7.1,-12.5
1.084,294.5,-231.2,-7.3,-11.5
1.118,294.3,-230.9,-7.5,-11.2
1.152,294.2,-231.2,-7.6,-11.5
1.186,293.8,-232.3,-8,-12.6
1.22,293.9,-234.3,-7.9,-14.6
1.253,294.7,-236.9,-7.1,-17.2
1.287,295.7,-239.3,-6.1,-19.6
1.321,296.7,-241.6,-5.1,-21.9
1.355,297.6,-244.1,-4.2,-24.4
1.389,298.8,-246.4,-3,-26.7
1.423,300,-248.8,-1.8,-29.1
1.457,301.4,-251.2,-0.4,-31.5
1.491,302.6,-253.3,0.8,-33.6
1.524,303.7,-255.4,1.9,-35.7
1.558,305,-257.3,3.2,-37.6
1.592,306.2,-259,4.4,-39.3
1.626,307.2,-260.7,5.4,-41
1.66,308.1,-262.4,6.3,-42.7
1.694,309.2,-264.1,7.4,-44.4
1.728,310.2,-265.4,8.4,-45.7
1.762,311.1,-266.3,9.3,-46.6
1.795,311.4,-267,9.6,-47.3
1.829,311.7,-267.4,9.9,-47.7
1.863,311.8,-267.5,10,-47.8
1.897,312.2,-267.5,10.4,-47.8
1.931,312.2,-267,10.4,-47.3
1.965,312.2,-265.8,10.4,-46.1
1.999,312.2,-264.6,10.4,-44.9
2.033,312.2,-263.5,10.4,-43.8
