t,x,y,nx,ny
0,299.3,-310.4,0,0
0.034,299.3,-310.4,0,0
0.068,299.4,-310.5,0.1,-0.1
0.102,299.4,-310.6,0.1,-0.2
0.135,299.4,-311,0.1,-0.6
0.169,299,-311.8,-0.3,-1.4
0.203,298,-312.8,-1.3,-2.4
0.237,296.3,-313.4,-3,-3
0.271,295.5,-313.5,-3.8,-3.1
0.305,294.5,-313.4,-4.8,-3
0.338,294.7,-312.7,-4.6,-2.3
0.372,294.8,-311.5,-4.5,-1.1
0.406,295.8,-310.6,-3.5,-0.2
0.44,295.3,-309.8,-4,0.6
0.474,294.2,-309.7,-5.1,0.7
0.508,293,-309.1,-6.3,1.3
0.542,292,-308,-7.3,2.4
0.575,291.3,-307,-8,3.4
0.609,290.5,-305.5,-8.8,4.9
0.643,289.6,-303.7,-9.7,6.7
0.677,288.2,-301.6,-11.1,8.8
0.711,286.6,-299.1,-12.7,11.3
0.745,284.2,-296.7,-15.1,13.7
0.778,282.5,-294.1,-16.8,16.3
0.812,280.1,-291.5,-19.2,18.9
0.846,278.7,-288.5,-20.6,21.9
0.88,277.7,-285.5,-21.6,24.9
0.914,276.5,-282.4,-22.8,28
0.948,275,-279.4,-24.3,31
0.982,273.1,-276.4,-26.2,34
1.015,271.5,-273.3,-27.8,37.1
1.049,269.9,-270.1,-29.4,40.3
1.083,267.9,-266.5,-31.4,43.9
1.117,266.5,-263,-32.8,47.4
1.151,265.2,-259.7,-34.1,50.7
1.185,263.7,-256.3,-35.6,54.1
1.218,262.5,-252.3,-36.8,58.1
1.252,261,-248.6,-38.3,61.8
1.286,260,-245.4,-39.3,65
1.32,259.2,-243.6,-40.1,66.8
1.354,258.9,-243,-40.4,67.4
1.388,259.2,-242.5,-40.1,67.9
1.422,259.3,-242.3,-40,68.1
1.455,259.3,-242.1,-40,68.3
1.489,259.3,-242,-40,68.4
1.523,259.3,-242,-40,68.4
1.557,259.4,-241.9,-39.9,68.5
1.591,258.9,-242.1,-40.4,68.3
1.625,257.4,-243,-41.9,67.4
1.658,256.2,-244.1,-43.1,66.3
1.692,255,-245.7,-44.3,64.7
1.726,254.5,-246.9,-44.8,63.5
1.76,255.3,-248.6,-44,61.8
1.794,256.6,-251,-42.7,59.4
1.828,258.5,-253.6,-40.8,56.8
1.862,260.5,-257.2,-38.8,53.2
1.895,262.6,-261.4,-36.7,49
1.929,265,-266.3,-34.3,44.1
1.963,267.1,-270.7,-32.2,39.7
1.997,269.2,-274.2,-30.1,36.2
2.031,271.1,-277,-28.2,33.4
2.065,272.3,-279.8,-27,30.6
2.098,273.5,-283,-25.8,27.4
2.132,274.8,-286.7,-24.5,23.7
2.166,276.6,-290.4,-22.7,20
2.2,278.8,-293.8,-20.5,16.6
2.234,281.3,-296.9,-18,13.5
2.268,283,-299.6,-16.3,10.8
2.302,285,-302.6,-14.3,7.8
2.335,286.3,-304.8,-13,5.6
2.369,288.1,-307.6,-11.2,2.8
2.403,289.5,-310.1,-9.8,0.3
2.437,292,-312.4,-7.3,-2
2.471,294.2,-315,-5.1,-4.6
2.505,296.4,-317.8,-2.9,-7.4
2.538,297.9,-320.2,-1.4,-9.8
2.572,299.4,-322.2,0.1,-11.8
2.606,301.3,-324.1,2,-13.7
2.64,302.7,-326.5,3.4,-16.1
2.674,304.2,-328.5,4.9,-18.1
2.708,305.3,-330.1,6,-19.7
2.742,305.9,-331.5,6.6,-21.1
2.775,305.9,-331.6,6.6,-21.2
2.809,305.9,-331.7,6.6,-21.3
2.843,305.8,-331.8,6.5,-21.4
2.877,305.9,-332,6.6,-21.6
2.911,305.9,-332.2,6.6,-21.8
2.945,306.1,-332.4,6.8,-22
2.978,306.2,-332.5,6.9,-22.1
3.012,306.2,-332.8,6.9,-22.4
3.046,305.3,-333.3,6,-22.9
3.08,304.7,-334.4,5.4,-24
3.114,303,-334.8,3.7,-24.4
3.148,301.9,-335,2.6,-24.6
3.182,301,-334.8,1.7,-24.4
3.215,300.9,-333.9,1.6,-23.5
3.249,301.2,-332.8,1.9,-22.4
3.283,301.3,-331.4,2,-21
3.317,301.3,-330.3,2,-19.9
3.351,301,-329,1.7,-18.6
3.385,299.6,-328.2,0.3,-17.8
3.418,298.1,-327.1,-1.2,-16.7
3.452,296.7,-325.4,-2.6,-15
3.486,295.6,-323.7,-3.7,-13.3
3.52,294.7,-322,-4.6,-11.6
3.554,293.8,-319.9,-5.5,-9.5
3.588,292.9,-318.1,-6.4,-7.7
3.622,291.2,-316.2,-8.1,-5.8
3.655,289.8,-314.1,-9.5,-3.7
3.689,287.7,-311.8,-11.6,-1.4
3.723,286.1,-309.5,-13.2,0.9
3.757,284.3,-306.8,-15,3.6
3.791,282.8,-303.9,-16.5,6.5
3.825,281.7,-301,-17.6,9.4
3.858,280.5,-297.7,-18.8,12.7
3.892,279.1,-294.4,-20.2,16
3.926,277.6,-291,-21.7,19.4
3.96,276.1,-287.3,-23.2,23.1
3.994,274.5,-283.9,-24.8,26.5
4.028,272.9,-280.5,-26.4,29.9
4.062,271.4,-276.9,-27.9,33.5
4.095,270,-273.3,-29.3,37.1
4.129,268.8,-269.9,-30.5,40.5
4.163,267,-266.5,-32.3,43.9
4.197,265.7,-263.1,-33.6,47.3
4.231,265,-260.7,-34.3,49.7
4.265,264.5,-259.4,-34.8,51
4.298,264.7,-258.7,-34.6,51.7
4.332,264.8,-258.6,-34.5,51.8
4.366,264.6,-258.7,-34.7,51.7
4.4,264.5,-258.5,-34.8,51.9
4.434,264.5,-258.5,-34.8,51.9
4.468,264.5,-258.5,-34.8,51.9
4.502,264.3,-258.6,-35,51.8
4.535,264.1,-258.8,-35.2,51.6
4.569,262.9,-259.5,-36.4,50.9
4.603,261.7,-260.9,-37.6,49.5
4.637,260.7,-261.8,-38.6,48.6
4.671,260.4,-263.5,-38.9,46.9
4.705,260.7,-265.3,-38.6,45.1
4.738,262.3,-267.5,-37,42.9
4.772,264.3,-270.2,-35,40.2
4.806,266.6,-273.8,-32.7,36.6
4.84,268.7,-278,-30.6,32.4
4.874,270.8,-282.5,-28.5,27.9
4.908,272.7,-286.6,-26.6,23.8
4.942,274.8,-290.7,-24.5,19.7
4.975,276.5,-293.6,-22.8,16.8
5.009,279.4,-299.3,-19.9,11.1
5.043,280.9,-302.3,-18.4,8.1
5.077,282.7,-305.8,-16.6,4.6
5.111,284.7,-309.4,-14.6,1
5.145,287.1,-312.2,-12.2,-1.8
5.178,289,-315,-10.3,-4.6
5.212,291,-317.9,-8.3,-7.5
5.246,292.8,-320.7,-6.5,-10.3
5.28,294.1,-323.1,-5.2,-12.7
5.314,295.9,-325.7,-3.4,-15.3
5.348,297.5,-328.1,-1.8,-17.7
5.382,299.6,-330.7,0.3,-20.3
5.415,301.7,-333.2,2.4,-22.8
5.449,303.8,-335.6,4.5,-25.2
5.483,305.8,-337.9,6.5,-27.5
5.517,306.9,-340.1,7.6,-29.7
5.551,308.7,-341.9,9.4,-31.5
5.585,310.4,-343.9,11.1,-33.5
5.618,311.7,-345.4,12.4,-35
5.652,312.1,-346.8,12.8,-36.4
5.686,312.2,-347.2,12.9,-36.8
5.72,312.2,-347.2,12.9,-36.8
5.754,312.3,-347.2,13,-36.8
5.788,312.4,-347.2,13.1,-36.8
5.822,312.4,-347.4,13.1,-37
5.855,312.4,-347.5,13.1,-37.1
5.889,312.5,-347.7,13.2,-37.3
5.923,312.6,-347.8,13.3,-37.4
5.957,312,-348.1,12.7,-37.7
5.991,311.8,-348.8,12.5,-38.4
6.025,310.7,-349.9,11.4,-39.5
6.058,309.9,-350.6,10.6,-40.2
6.092,308.8,-351.3,9.5,-40.9
6.126,308.2,-351.7,8.9,-41.3
6.16,308.2,-351.6,8.9,-41.2
6.194,308.8,-351,9.5,-40.6
6.228,309.1,-350.3,9.8,-39.9
6.262,309.2,-350,9.9,-39.6
6.295,309,-349.7,9.7,-39.3
6.329,308.5,-349.1,9.2,-38.7
6.363,307.1,-348.1,7.8,-37.7
6.397,306,-347.5,6.7,-37.1
6.431,305,-346,5.7,-35.6
6.465,304.2,-344.1,4.9,-33.7
6.498,303.1,-342.1,3.8,-31.7
6.532,302.2,-340,2.9,-29.6
6.566,300.8,-337.7,1.5,-27.3
6.6,298.7,-335.2,-0.6,-24.8
6.634,296.3,-333.1,-3,-22.7
6.668,294.4,-330.5,-4.9,-20.1
6.702,292.7,-327.7,-6.6,-17.3
6.735,291.2,-324.9,-8.1,-14.5
6.769,289.8,-321.9,-9.5,-11.5
6.803,288.5,-318.7,-10.8,-8.3
