t,x,y,nx,ny
0,-165.7,171,0,0
0.034,-165.8,171,-0.1,0
0.068,-165.1,170.7,0.6,-0.3
0.102,-164.5,170.9,1.2,-0.1
0.135,-164.3,171.2,1.4,0.2
0.169,-164.2,171.4,1.5,0.4
0.203,-163.8,171.6,1.9,0.6
0.237,-163.6,172,2.1,1
0.271,-163.1,172.5,2.6,1.5
0.305,-162,173,3.7,2
0.338,-160.8,173.7,4.9,2.7
0.372,-159.3,174.6,6.4,3.6
0.406,-156,176.8,9.7,5.8
0.44,-154.3,177.9,11.4,6.9
0.474,-152.6,178.8,13.1,7.8
0.508,-151.7,179.7,14,8.7
0.541,-151.2,180.5,14.5,9.5
0.575,-150.9,181,14.8,10
0.609,-150.6,180.9,15.1,9.9
0.643,-150.1,180.6,15.6,9.6
0.677,-148,179.6,17.7,8.6
0.711,-144.9,178.6,20.8,7.6
0.744,-141.1,177.6,24.6,6.6
0.778,-136.8,176.5,28.9,5.5
0.812,-132.6,176.4,33.1,5.4
0.846,-129.3,175.6,36.4,4.6
0.88,-127.2,173.9,38.5,2.9
0.914,-125.6,171.7,40.1,0.7
0.948,-124.5,168.5,41.2,-2.5
0.981,-125.9,164.1,39.8,-6.9
1.015,-129.8,158.5,35.9,-12.5
1.049,-135.4,151.8,30.3,-19.2
1.083,-141.1,145.5,24.6,-25.5
1.117,-142.6,143.4,23.1,-27.6
1.151,-142.9,142.1,22.8,-28.9
1.184,-142.7,141.7,23,-29.3
1.218,-142.6,141.8,23.1,-29.2
1.252,-142,141.8,23.7,-29.2
1.286,-141.8,142,23.9,-29
1.32,-141.2,142.3,24.5,-28.7
1.354,-140.4,143.2,25.3,-27.8
1.387,-139.2,143.8,26.5,-27.2
1.421,-137.8,144.8,27.9,-26.2
1.455,-136.3,145.9,29.4,-25.1
1.489,-134.6,147.2,31.1,-23.8
1.523,-133,148.9,32.7,-22.1
1.557,-131.6,150.6,34.1,-20.4
1.59,-131,151.8,34.7,-19.2
1.624,-130.5,152.7,35.2,-18.3
1.658,-130,153.8,35.7,-17.2
1.692,-129.9,154,35.8,-17
1.726,-129.6,154,36.1,-17
1.76,-128.3,154,37.4,-17
1.794,-125.6,153.7,40.1,-17.3
1.827,-121.8,153.9,43.9,-17.1
1.861,-117.2,154.1,48.5,-16.9
1.895,-113.6,154.6,52.1,-16.4
1.929,-111.7,154.6,54,-16.4
1.963,-110.8,153.6,54.9,-17.4
1.997,-109.6,151.4,56.1,-19.6
2.03,-108.6,149.2,57.1,-21.8
2.064,-109.4,145.7,56.3,-25.3
2.098,-112.1,141.3,53.6,-29.7
2.132,-116.7,135.4,49,-35.6
2.166,-122.1,128.3,43.6,-42.7
2.2,-125.9,124.1,39.8,-46.9
2.233,-126.4,122.7,39.3,-48.3
2.267,-126.1,122.2,39.6,-48.8
2.301,-125.9,121.9,39.8,-49.1
2.335,-125.7,121.9,40,-49.1
2.369,-125.4,122,40.3,-49
2.403,-125,122.1,40.7,-48.9
2.436,-124.4,122.3,41.3,-48.7
2.47,-123.6,123,42.1,-48
2.504,-122.4,123.9,43.3,-47.1
2.538,-121.1,124.9,44.6,-46.1
2.572,-119.6,126.3,46.1,-44.7
2.606,-117.8,127.9,47.9,-43.1
2.639,-116.4,129.8,49.3,-41.2
2.673,-115.6,131.5,50.1,-39.5
2.707,-114.6,133.4,51.1,-37.6
2.741,-114.5,134,51.2,-37
2.775,-114.6,134,51.1,-37
2.809,-114.1,133.9,51.6,-37.1
2.843,-112.6,134.2,53.1,-36.8
2.876,-109.5,134.5,56.2,-36.5
2.91,-105.5,135.4,60.2,-35.6
2.944,-101.4,136.6,64.3,-34.4
2.978,-99,137.3,66.7,-33.7
3.012,-98.02,136.8,67.68,-34.2
3.046,-96.84,135.4,68.86,-35.6
3.079,-95.65,133.4,70.05,-37.6
3.113,-94.63,131.3,71.07,-39.7
3.147,-95.27,127.5,70.43,-43.5
3.181,-97.67,122.2,68.03,-48.8
3.215,-101.6,115.4,64.1,-55.6
3.249,-106.3,107.2,59.4,-63.8
3.282,-108.4,103.8,57.3,-67.2
3.316,-108.5,102.4,57.2,-68.6
3.35,-108.1,102,57.6,-69
3.384,-107.6,101.8,58.1,-69.2
3.418,-107.1,101.7,58.6,-69.3
3.452,-106.5,101.8,59.2,-69.2
3.485,-106.4,102,59.3,-69
3.519,-105.6,102.6,60.1,-68.4
3.553,-104.6,103.3,61.1,-67.7
3.587,-103.4,104.4,62.3,-66.6
3.621,-102.4,105.7,63.3,-65.3
3.655,-101,107.3,64.7,-63.7
3.689,-99.55,109.2,66.15,-61.8
3.722,-98.6,111.3,67.1,-59.7
3.756,-97.81,113.3,67.89,-57.7
